Asthma Sample Size,Asthma Prevalence (%),Standard Error,95% CI* (%),Year
15144.0,12.4,0.47,(11.5–13.3),2016
6448.0,16.7,0.68,(15.4 – 18.1),2013
6161.0,14.1,0.63,(12.9 – 15.3),2014
6999.0,15.2,0.66,(13.9 – 16.5),2015
6391.0,16.4,0.72,(15.0–17.8),2016
13351.0,13.6,0.45,(12.8 – 14.5),2013
13002.0,12.4,0.44,(11.5 – 13.3),2014
11432.0,11.6,0.48,(10.7 – 12.6),2015
7640.0,12.0,0.61,(10.8–13.2),2016
9285.0,14.5,0.54,(13.5 – 15.6),2013
8915.0,14.4,0.58,(13.2 – 15.5),2014
6723.0,15.1,0.7,(13.7 – 16.4),2015
6008.0,16.3,0.75,(14.9–17.8),2016
5084.0,11.4,0.78,(9.9 – 12.9),2013
3741.0,12.3,0.82,(10.7 – 13.9),2014
2915.0,13.6,0.99,(11.7 – 15.6),2015
4329.0,11.6,0.73,(10.2–13.0),2016
8950.0,14.9,0.52,(13.9 – 15.9),2013
6847.0,15.0,0.58,(13.9 – 16.2),2014
12319.0,14.7,0.44,(13.8 – 15.6),2015
34113.0,13.8,0.37,(13.1–14.5),2016
11925.0,14.2,0.49,(13.3 – 15.2),2013
10884.0,15.0,0.56,(13.9 – 16.1),2014
11873.0,14.1,0.57,(12.9 – 15.2),2015
12350.0,14.0,0.52,(13.0–15.0),2016
8206.0,14.6,0.53,(13.6 – 15.6),2013
8406.0,14.3,0.51,(13.3 – 15.3),2014
6917.0,14.3,0.65,(13.0 – 15.6),2015
6855.0,14.1,0.6,(12.9–15.3),2016
5930.0,18.2,0.69,(16.8 – 19.5),2013
5214.0,16.6,0.71,(15.2 – 18.0),2014
5339.0,17.9,0.68,(16.6 – 19.3),2015
5421.0,17.2,0.63,(15.9–18.4),2016
11390.0,14.2,0.45,(13.4 – 15.1),2013
10976.0,14.3,0.48,(13.4 – 15.3),2014
5716.0,15.0,0.67,(13.7 – 16.3),2015
6791.0,14.8,0.58,(13.7–15.9),2016
6511.0,17.4,0.68,(16.1 – 18.8),2013
6428.0,15.2,0.67,(13.9 – 16.5),2014
6178.0,16.0,0.71,(14.6 – 17.3),2015
5441.0,15.8,0.72,(14.4–17.2),2016
10674.0,13.4,0.48,(12.4 – 14.3),2013
10994.0,13.1,0.46,(12.2 – 14.0),2014
11573.0,13.0,0.46,(12.1 – 13.9),2015
11209.0,13.4,0.47,(12.5–14.3),2016
6868.0,11.8,0.7,(10.4 – 13.2),2013
7375.0,11.2,0.65,(9.9 – 12.5),2014
7197.0,12.5,0.75,(11.0 – 14.0),2015
5752.0,9.3,0.63,(8.0–10.5),2016
5788.0,11.3,0.57,(10.2 – 12.5),2013
5119.0,14.4,0.74,(12.9 – 15.8),2014
5959.0,14.5,0.71,(13.1 – 15.9),2015
6150.0,16.1,0.72,(14.7–17.5),2016
10875.0,12.6,0.49,(11.6 – 13.5),2013
15379.0,11.1,0.41,(10.3 – 11.9),2014
14655.0,12.0,0.49,(11.0 – 12.9),2015
11683.0,12.5,0.59,(11.3–13.6),2016
12725.0,14.1,0.4,(13.3 – 14.8),2013
14966.0,13.4,0.34,(12.8 – 14.1),2014
11368.0,14.0,0.42,(13.2 – 14.8),2015
10947.0,13.8,0.46,(12.9–14.7),2016
8441.0,13.6,0.53,(12.5 – 14.6),2013
9442.0,12.7,0.49,(11.7 – 13.6),2014
8617.0,12.3,0.48,(11.3 – 13.2),2015
8964.0,13.3,0.49,(12.4–14.3),2016
6378.0,16.4,0.64,(15.2 – 17.7),2013
6448.0,16.5,0.57,(15.3 – 17.6),2014
6471.0,16.2,0.62,(14.9 – 17.4),2015
6518.0,15.6,0.62,(14.3–16.8),2016
11133.0,15.8,0.48,(14.9 – 16.8),2013
10038.0,14.8,0.51,(13.8 – 15.8),2014
16026.0,14.8,0.39,(14.0 – 15.6),2015
14210.0,14.9,0.4,(14.2–15.7),2016
6575.0,14.9,0.75,(13.4 – 16.4),2013
7032.0,12.7,0.59,(11.5 – 13.9),2014
6175.0,13.0,0.63,(11.7 – 14.2),2015
5260.0,11.8,0.61,(10.6–13.0),2016
5867.0,13.6,0.55,(12.5 – 14.7),2013
6178.0,14.5,0.56,(13.4 – 15.6),2014
5935.0,15.1,0.55,(14.0 – 16.2),2015
7125.0,16.2,0.55,(15.1–17.3),2016
6430.0,14.1,0.64,(12.9 – 15.4),2013
6393.0,12.0,0.69,(10.6 – 13.3),2014
5465.0,13.5,0.79,(12.0 – 15.0),2015
4487.0,13.9,0.86,(12.2–15.6),2016
