,year,State_Abbr,O3_Units_min,O3_Mean_min,O3_Units_max,O3_Mean_max,O3_Mean
69,2014,OK,Parts per million,0.002375,Parts per million,0.057375,0.029898890718562818
70,2014,OR,Parts per million,0.000375,Parts per million,0.045542,0.020909377245508978
71,2014,PA,Parts per million,0.000125,Parts per million,0.060042,0.026049407167745196
72,2014,RI,Parts per million,0.002292,Parts per million,0.054625,0.029158567642956774
73,2014,SD,Parts per million,0.003458,Parts per million,0.052375,0.031174499296765135
74,2014,TX,Parts per million,0.001292,Parts per million,0.057667,0.02528978901139975
75,2014,UT,Parts per million,0.001583,Parts per million,0.056,0.027413681528662432
76,2014,VA,Parts per million,0.000792,Parts per million,0.054333000000000006,0.029965174880763105
77,2014,WA,Parts per million,0.018792,Parts per million,0.038417,0.029978190476190485
78,2014,WY,Parts per million,0.010692,Parts per million,0.059059,0.037302980437284264
79,2015,AK,Parts per million,0.0,Parts per million,0.039042,0.014217632750397424
80,2015,AL,Parts per million,0.003,Parts per million,0.045375,0.023999966666666667
81,2015,AR,Parts per million,0.004625,Parts per million,0.045208,0.02433493131868136
82,2015,AZ,Parts per million,0.0031,Parts per million,0.055792,0.028143850812407663
83,2015,CA,Parts per million,0.0,Parts per million,0.078833,0.027559689271378314
84,2015,CO,Parts per million,0.0,Parts per million,0.049708,0.024450965963566666
85,2015,CT,Parts per million,0.002125,Parts per million,0.06854199999999999,0.031103356894553905
86,2015,DC,Parts per million,0.0005,Parts per million,0.049375,0.02666851588502266
87,2015,DE,Parts per million,0.003292,Parts per million,0.048542,0.02837354751131218
88,2015,FL,Parts per million,0.010292,Parts per million,0.045208,0.025707592592592664
89,2015,GA,Parts per million,0.002167,Parts per million,0.03975,0.019226491329479768
90,2015,HI,Parts per million,0.001938,Parts per million,0.049917,0.023762973950795973
91,2015,IA,Parts per million,0.003667,Parts per million,0.049125,0.027443917534722244
92,2015,IL,Parts per million,0.002458,Parts per million,0.052208,0.025769057335581814
93,2015,IN,Parts per million,0.003667,Parts per million,0.052917,0.026211491729323338
94,2015,KS,Parts per million,0.004292,Parts per million,0.053833000000000006,0.025372107462686568
95,2015,KY,Parts per million,0.0024170000000000003,Parts per million,0.049,0.023660757105943137
96,2015,LA,Parts per million,0.005292,Parts per million,0.047833,0.023550808275862083
97,2015,MA,Parts per million,0.000625,Parts per million,0.052000000000000005,0.02248586377708976
98,2015,MD,Parts per million,0.001,Parts per million,0.055292,0.028047919151086367
99,2015,ME,Parts per million,0.001,Parts per million,0.050042,0.024421514792899467
100,2015,MN,Parts per million,0.000792,Parts per million,0.049708,0.026042554112554045
101,2015,MO,Parts per million,0.002625,Parts per million,0.04225,0.0206834604316547
102,2015,NC,Parts per million,0.001083,Parts per million,0.051667,0.026819333097094257
103,2015,ND,Parts per million,0.0017920000000000004,Parts per million,0.042208,0.024690896656534924
104,2015,NH,Parts per million,0.006333,Parts per million,0.058042,0.029951354748603318
105,2015,NJ,Parts per million,0.0,Parts per million,0.058208,0.02457038775510204
106,2015,NM,Parts per million,0.003,Parts per million,0.052125,0.029849920454545473
107,2015,NV,Parts per million,0.000583,Parts per million,0.059278,0.03149623211446735
108,2015,NY,Parts per million,0.000833,Parts per million,0.055833,0.02375672651933704
109,2015,OH,Parts per million,0.000458,Parts per million,0.04875,0.023929807889344342
110,2015,OK,Parts per million,0.002792,Parts per million,0.052625,0.02609629438202244
111,2015,OR,Parts per million,0.0,Parts per million,0.041125,0.01968035068493151
112,2015,PA,Parts per million,0.0,Parts per million,0.056417,0.027671434173669483
113,2015,RI,Parts per million,0.004792,Parts per million,0.061666999999999986,0.029185163888888876
114,2015,SD,Parts per million,0.004917,Parts per million,0.056375,0.024084313821138178
115,2015,TN,Parts per million,0.011458,Parts per million,0.063917,0.037548589632829345
116,2015,TX,Parts per million,0.0,Parts per million,0.055917,0.024866375000000055
117,2015,UT,Parts per million,0.000417,Parts per million,0.065958,0.027733814229248983
118,2015,VA,Parts per million,0.001417,Parts per million,0.053824,0.029290275193798423
119,2015,WA,Parts per million,0.000292,Parts per million,0.041958,0.02146849404761906
